Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,Acadian Plains and Hills,,,Intensification,Intensification,2001.0000,2006.0000,20.0000,,,,,,
,,Acadian Plains and Hills,,,Intensification,Intensification,2007.0000,2012.0000,40.0000,,,,,,
,,Acadian Plains and Hills,,,Intensification,Intensification,2012.0000,2017.0000,0.0000,,,,,,
,,Acadian Plains and Hills,,,Urbanization,Urbanization,2001.0000,2006.0000,300.0000,,,,,,
,,Acadian Plains and Hills,,,Urbanization,Urbanization,2007.0000,2011.0000,260.0000,,,,,,
,,Acadian Plains and Hills,,,Urbanization,Urbanization,2012.0000,2016.0000,80.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Ag Contraction,Ag Change,2001.0000,2006.0000,20.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Ag Contraction,Ag Change,2007.0000,2011.0000,0.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Ag Contraction,Ag Change,2012.0000,2016.0000,0.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Ag Expansion,Ag Change,2001.0000,2006.0000,40.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Ag Expansion,Ag Change,2007.0000,2011.0000,40.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Ag Expansion,Ag Change,2012.0000,2016.0000,0.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2002.0000,2002.0000,33000.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2003.0000,2003.0000,224900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2004.0000,2004.0000,80700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2005.0000,2005.0000,56000.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2006.0000,2006.0000,122200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2007.0000,2007.0000,129700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2008.0000,2008.0000,41400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2009.0000,2009.0000,78000.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2010.0000,2010.0000,175500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2011.0000,2011.0000,44800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2012.0000,2012.0000,42300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2013.0000,2013.0000,367100.0000,,,,,,
