"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.336502999067307,2.40024495124817,11.4376096725464,8.57580375671387,11.1299104690552,7.80902719497681,73.4319305419922,49.1954193115234,17.7751007080078,0,0,
1,0.005811349023,0,0,0,0.2306929529,0,0.1513135433,0,0.03636234999,0,0.04973321408,0,0.286242544651031,1.65829503536224,12.0397624969482,7.81110334396362,12.4088315963745,8.17380905151367,73.4952621459961,47.0676536560059,15.2852325439453,0,0,
2,0.02901575528,0,0,0,0.7099296451,0,0.2991876304,0,0.09594517946,0,0.1345203519,0,0.269941598176956,1.15753078460693,12.3717393875122,7.11522340774536,13.591516494751,8.52237892150879,73.5106811523438,45.0319862365723,13.1476812362671,0,0,
3,0.07429245859,0,0,0,1.323523402,0,0.4418089688,0,0.167038843,0,0.2413578779,0,0.285619884729385,0.826830446720123,12.4952192306519,6.48228549957275,14.6830806732178,8.85502815246582,73.4922866821289,43.0845146179199,11.3149032592773,0,0,
4,0.1446778178,0,0,0,2.028253555,0,0.5789562464,0,0.2449122071,0,0.3660068512,0,0.329418778419495,0.6153604388237,12.4598197937012,5.90685749053955,15.6883983612061,9.17238903045654,73.4501571655273,41.2215309143066,9.74526405334473,0,0,
5,0.2424632758,0,0,0,2.797303915,0,0.7106458545,0,0.3265657425,0,0.5060260296,0,0.397159785032272,0.48723179101944,12.3059539794922,5.38396072387695,16.612117767334,9.47530555725098,73.3915328979492,39.4394989013672,8.40263271331787,0,0,
6,0.3694569468,0,0,0,3.61133194,0,0.8369809985,0,0.4098703563,0,0.6596745253,0,0.484757125377655,0.417142927646637,12.0664911270142,4.90904140472412,17.4586620330811,9.76475238800049,73.3216094970703,37.7350425720215,7.2557168006897,0,0,
7,0.5271005034,0,0,0,4.455282688,0,0.9581044912,0,0.4932492375,0,0.8255390525,0,0.588392496109009,0.387246370315552,11.7680330276489,4.47793865203857,18.2322521209717,10.0417699813843,73.2441558837891,36.1049385070801,6.27744817733765,0,0,
8,0.7165309191,0,0,0,5.316915989,0,1.074178457,0,0.5755188465,0,1.002374053,0,0.704592823982239,0.384936571121216,11.431957244873,4.08684873580933,18.9369068145752,10.3074235916138,73.1618957519531,34.5461120605469,5.44441986083984,0,0,
9,0.9386168718,0,0,0,6.186014175,0,1.18537426,0,0.6557943225,0,1.189026833,0,0.830259382724762,0.401297152042389,11.0752859115601,3.73229813575745,19.5764598846436,10.5627679824829,73.0768127441406,33.0556182861328,4.73639822006226,0,0,
10,1.193981409,0,0,0,7.05391264,0,1.29186666,0,0.7334252596,0,1.384401679,0,0.962670028209686,0.430013239383698,10.7114124298096,3.41111159324646,20.1545562744141,10.8088226318359,72.990364074707,31.6306552886963,4.13589525222778,0,0,
11,1.483017087,0,0,0,7.913198471,0,1.393830776,0,0.8079482913,0,1.58744216,0,1.09946608543396,0.466609567403793,10.3507118225098,3.12038803100586,20.674674987793,11.0465621948242,72.9036026000977,30.2685356140137,3.62779641151428,0,0,
12,1.805896759,0,0,0,8.757507324,0,1.491440058,0,0.8790500164,0,1.79712534,0,1.23863053321838,0.50791597366333,10.0010604858398,2.8574755191803,21.1401290893555,11.2768983840942,72.8173141479492,28.9666900634766,3.19903969764709,0,0,
13,2.162582636,0,0,0,9.581377029,0,1.584864378,0,0.9465377331,0,2.012461185,0,1.37846076488495,0.55169153213501,9.66827201843262,2.61994910240173,21.5540714263916,11.5006771087646,72.732063293457,27.7226619720459,2.83833694458008,0,0,
14,2.552832842,0,0,0,10.38014126,0,1.674270272,0,1.010314941,0,2.232493401,0,1.51753997802734,0.59635990858078,9.35646438598633,2.4055917263031,21.9195079803467,11.7186737060547,72.6482696533203,26.5341033935547,2.53593373298645,0,0,
15,2.976208925,0,0,0,11.14984322,0,1.759819388,0,1.07036078,0,2.45630312,0,1.65470695495605,0.640821695327759,9.06837558746338,2.21237540245056,22.2392997741699,11.9315929412842,72.5662231445313,25.3987598419189,2.28340125083923,0,0,
16,3.432081461,0,0,0,11.88717175,0,1.841668606,0,1.126713991,0,2.683010817,0,1.78902733325958,0.684321224689484,8.80562400817871,2.03844499588013,22.516170501709,12.1400680541992,72.4861450195313,24.3144760131836,2.07345747947693,0,0,
17,3.919639111,0,0,0,12.5894022,0,1.919969678,0,1.179458141,0,2.911782265,0,1.91976523399353,0.726350963115692,8.56892871856689,1.88210260868073,22.7527141571045,12.3446607589722,72.4081802368164,23.2791862487793,1.89981174468994,0,0,
18,4.437893867,0,0,0,13.25435352,0,1.994869471,0,1.228711367,0,3.141828775,0,2.04635739326477,0.766583681106567,8.35829734802246,1.74179494380951,22.9514007568359,12.5458679199219,72.3324356079102,22.2909126281738,1.75703144073486,0,0,
19,4.985691071,0,0,0,13.88033962,0,2.066509485,0,1.274615169,0,3.372408867,0,2.16838884353638,0.804822325706482,8.17318344116211,1.61609983444214,23.1145782470703,12.7441205978394,72.2589721679688,21.3477554321289,1.64042687416077,0,0,
20,5.561717987,0,0,0,14.46613598,0,2.135026217,0,1.317328215,0,3.602831125,0,2.28557062149048,0.840964257717133,8.01261520385742,1.50371563434601,23.2444839477539,12.9397916793823,72.1878356933594,20.4478874206543,1.54595172405243,0,0,
21,6.164514065,0,0,0,15.01094246,0,2.200551033,0,1.357019067,0,3.832454681,0,2.39772033691406,0.874974966049194,7.87530565261841,1.40345060825348,23.3432445526123,13.1331968307495,72.1190338134766,19.589563369751,1.47011709213257,0,0,
22,6.792481422,0,0,0,15.5143528,0,2.263210535,0,1.39386189,0,4.060688496,0,2.50474429130554,0.906868457794189,7.75974321365356,1.31421387195587,23.4128799438477,13.3246021270752,72.0525665283203,18.7711009979248,1.40991711616516,0,0,
23,7.443895817,0,0,0,15.97631741,0,2.323125839,0,1.428031564,0,4.286990166,0,2.60662174224854,0.936692893505096,7.66426372528076,1.23500680923462,23.4553146362305,13.5142250061035,71.9884338378906,17.9908828735352,1.36276507377625,0,0,
