ScenarioID,Iteration,Timestep,FlowGroupID,Amount
155,1,2003,Net Growth: Total,1243782307.1759746
155,1,2003,Transfer: Total,91623794.382149145
155,1,2003,Q10 Fast Flows,614229230.6568315
155,1,2003,Q10 Slow Flows,533522642.91646284
155,1,2003,Net Primary Productivity,1243782307.1759746
155,1,2003,Net Ecosystem Productivity,277007188.6602398
155,1,2003,Net Biome Productivity,277007188.6602398
155,1,2004,Biomass Turnover: Coarse Roots -> AG Fast [Type],27991146.756498907
155,1,2004,Biomass Turnover: Coarse Roots -> BG Fast [Type],27991146.756498907
155,1,2004,Biomass Turnover: Fine Roots -> AG Very Fast [Type],150069355.51527995
155,1,2004,Biomass Turnover: Fine Roots -> BG Very Fast [Type],150069355.51527995
155,1,2004,Biomass Turnover: Foliage -> AG Very Fast [Type],328407173.1490339
155,1,2004,Biomass Turnover: Merchantable -> Snag Stems [Type],50454113.14573396
155,1,2004,Biomass Turnover: Other Wood -> AG Fast [Type],133696125.01625362
155,1,2004,Biomass Turnover: Other Wood -> Snag Branches [Type],44565375.00541786
155,1,2004,Decay: AG Fast -> AG Slow [Type],36157676.16898068
155,1,2004,Decay: AG Medium -> AG Slow [Type],9089700.649279729
155,1,2004,Decay: AG Very Fast -> AG Slow [Type],87979398.17524424
155,1,2004,Decay: BG Fast -> BG Slow [Type],6140955.123364804
155,1,2004,Decay: BG Very Fast -> BG Slow [Type],25595587.180848077
155,1,2004,Decay: Snag Branch -> AG Slow [Type],2803848.8374379594
155,1,2004,Decay: Snag Stem -> AG Slow [Type],2506059.4184285738
155,1,2004,Emission: AG Fast -> Atmosphere [Type],176439971.0170302
155,1,2004,Emission: AG Medium -> Atmosphere [Type],44467606.739127256
155,1,2004,Emission: AG Slow -> Atmosphere [Type],114468532.77728346
155,1,2004,Emission: AG Very Fast -> Atmosphere [Type],387589669.75047827
155,1,2004,Emission: BG Fast -> Atmosphere [Type],29966594.133827962
155,1,2004,Emission: BG Slow -> Atmosphere [Type],77767197.81372595
155,1,2004,Emission: BG Very Fast -> Atmosphere [Type],124967594.34654744
155,1,2004,Emission: Snag Branch -> Atmosphere [Type],13708915.934595576
155,1,2004,Emission: Snag Stem -> Atmosphere [Type],12235340.066253081
155,1,2004,Net Growth: Atmosphere -> Coarse Roots [Type],115279026.23530363
155,1,2004,Net Growth: Atmosphere -> Fine Roots [Type],320620028.8437035
155,1,2004,Net Growth: Atmosphere -> Foliage [Type],355963868.17229563
155,1,2004,Net Growth: Atmosphere -> Merchantable [Type],252204412.16430762
155,1,2004,Net Growth: Atmosphere -> Other Wood [Type],265325053.85856542
155,1,2004,Transfer: AG Slow -> BG Slow [Type],43018280.32437936
155,1,2004,Transfer: Snag Branch -> AG Fast [Type],24678488.72291404
155,1,2004,Transfer: Snag Stem -> AG Medium [Type],25123836.45668688
155,1,2004,Biomass Turnover: Total,913243790.859997
155,1,2004,Decay: Total,170273225.55358407
155,1,2004,Emission: Total,981611422.5788692
155,1,2004,Net Growth: Total,1309392389.274176
155,1,2004,Transfer: Total,92820605.50398028
155,1,2004,Q10 Fast Flows,633055881.0273854
155,1,2004,Q10 Slow Flows,533882174.7953223
155,1,2004,Net Primary Productivity,1309392389.274176
155,1,2004,Net Ecosystem Productivity,327780966.6953066
155,1,2004,Net Biome Productivity,327780966.6953066
155,1,2005,Biomass Turnover: Coarse Roots -> AG Fast [Type],28584114.083721977
155,1,2005,Biomass Turnover: Coarse Roots -> BG Fast [Type],28584114.083721977
155,1,2005,Biomass Turnover: Fine Roots -> AG Very Fast [Type],156633617.87439242
155,1,2005,Biomass Turnover: Fine Roots -> BG Very Fast [Type],156633617.87439242
155,1,2005,Biomass Turnover: Foliage -> AG Very Fast [Type],344778894.51401955
155,1,2005,Biomass Turnover: Merchantable -> Snag Stems [Type],51725421.63520914
155,1,2005,Biomass Turnover: Other Wood -> AG Fast [Type],136308031.6313604
155,1,2005,Biomass Turnover: Other Wood -> Snag Branches [Type],45436010.54378686
155,1,2005,Decay: AG Fast -> AG Slow [Type],35891565.566937126
155,1,2005,Decay: AG Medium -> AG Slow [Type],8951781.333991855
155,1,2005,Decay: AG Very Fast -> AG Slow [Type],91735628.7463015
155,1,2005,Decay: BG Fast -> BG Slow [Type],6002868.000457015
155,1,2005,Decay: BG Very Fast -> BG Slow [Type],26517536.782915045
155,1,2005,Decay: Snag Branch -> AG Slow [Type],2867052.9931020117
155,1,2005,Decay: Snag Stem -> AG Slow [Type],2560152.9609689983
155,1,2005,Emission: AG Fast -> Atmosphere [Type],175146905.28130832
155,1,2005,Emission: AG Medium -> Atmosphere [Type],43791980.35294893
155,1,2005,Emission: AG Slow -> Atmosphere [Type],115980200.40332702
155,1,2005,Emission: AG Very Fast -> Atmosphere [Type],404146062.09171826
155,1,2005,Emission: BG Fast -> Atmosphere [Type],29293903.49699284
155,1,2005,Emission: BG Slow -> Atmosphere [Type],77757256.97561501
155,1,2005,Emission: BG Very Fast -> Atmosphere [Type],129469854.47034875
155,1,2005,Emission: Snag Branch -> Atmosphere [Type],14017668.60854399
155,1,2005,Emission: Snag Stem -> Atmosphere [Type],12498991.914423868
155,1,2005,Net Growth: Atmosphere -> Coarse Roots [Type],108325263.00336276
155,1,2005,Net Growth: Atmosphere -> Fine Roots [Type],306570471.51940227
155,1,2005,Net Growth: Atmosphere -> Foliage [Type],346356160.1613216
155,1,2005,Net Growth: Atmosphere -> Merchantable [Type],233395314.18546584
155,1,2005,Net Growth: Atmosphere -> Other Wood [Type],253764791.71499148
155,1,2005,Transfer: AG Slow -> BG Slow [Type],43696814.15214024
155,1,2005,Transfer: Snag Branch -> AG Fast [Type],25223736.31435382
155,1,2005,Transfer: Snag Stem -> AG Medium [Type],25556715.81277615
155,1,2005,Biomass Turnover: Total,948683822.2406048
155,1,2005,Decay: Total,174526586.38467357
155,1,2005,Emission: Total,1002102823.595227
155,1,2005,Net Growth: Total,1248412000.584544
155,1,2005,Transfer: Total,94477266.2792702
155,1,2005,Q10 Fast Flows,655558705.393487
155,1,2005,Q10 Slow Flows,537790713.8900688
155,1,2005,Net Primary Productivity,1248412000.584544
155,1,2005,Net Ecosystem Productivity,246309176.9893169
155,1,2005,Net Biome Productivity,246309176.9893169
155,1,2006,Biomass Turnover: Coarse Roots -> AG Fast [Type],29095684.43208117
155,1,2006,Biomass Turnover: Coarse Roots -> BG Fast [Type],29095684.43208117
155,1,2006,Biomass Turnover: Fine Roots -> AG Very Fast [Type],154487304.9388752
155,1,2006,Biomass Turnover: Fine Roots -> BG Very Fast [Type],154487304.9388752
155,1,2006,Biomass Turnover: Foliage -> AG Very Fast [Type],337753783.20024157
155,1,2006,Biomass Turnover: Merchantable -> Snag Stems [Type],52857759.3169002
155,1,2006,Biomass Turnover: Other Wood -> AG Fast [Type],138468654.11755577
155,1,2006,Biomass Turnover: Other Wood -> Snag Branches [Type],46156218.03918529
155,1,2006,Decay: AG Fast -> AG Slow [Type],36213321.687253885
155,1,2006,Decay: AG Medium -> AG Slow [Type],8978380.220907709
155,1,2006,Decay: AG Very Fast -> AG Slow [Type],94146726.60445389
155,1,2006,Decay: BG Fast -> BG Slow [Type],5980901.382752339
155,1,2006,Decay: BG Very Fast -> BG Slow [Type],26814861.0525697
155,1,2006,Decay: Snag Branch -> AG Slow [Type],2963852.35853087
155,1,2006,Decay: Snag Stem -> AG Slow [Type],2662000.0907365163
