ScenarioID,Iteration,Timestep,TertiaryStratumID,StockGroupID,Amount
149,1,2001,Department of Defense,DOM: Aboveground Fast [Type],4784450.797128677
149,1,2001,Department of Defense,DOM: Aboveground Medium [Type],4721890.988770127
149,1,2001,Department of Defense,DOM: Aboveground Slow [Type],26533062.748479843
149,1,2001,Department of Defense,DOM: Aboveground Very Fast [Type],2197828.7116512656
149,1,2001,Department of Defense,DOM: Belowground Fast [Type],832868.1978054345
149,1,2001,Department of Defense,DOM: Belowground Slow [Type],102304122.5101471
149,1,2001,Department of Defense,DOM: Belowground Very Fast [Type],349031.9799381308
149,1,2001,Department of Defense,DOM: Black Carbon [Type],0
149,1,2001,Department of Defense,DOM: Snag Branch [Type],954146.1424567956
149,1,2001,Department of Defense,DOM: Snag Stem [Type],2758074.193797091
149,1,2001,Department of Defense,Forestry Sector [Type],0
149,1,2001,Department of Defense,Atmosphere [Type],0
149,1,2001,Department of Defense,Black Carbon [Type],0
149,1,2001,Department of Defense,Peat [Type],0
149,1,2001,Department of Defense,Biomass: Aboveground,57940736.83621488
149,1,2001,Department of Defense,Biomass: Belowground,14149473.130490258
149,1,2001,Department of Defense,Biomass: Total,72090209.96670514
149,1,2001,Department of Defense,DOM: Aboveground,3712220.3362538866
149,1,2001,Department of Defense,DOM: Belowground,141723255.93392056
149,1,2001,Department of Defense,DOM: Total,145435476.27017447
149,1,2001,Department of Defense,Total Ecosystem,217525686.23687962
149,1,2001,Department of Defense,DOM: Deadwood,9266979.522829449
149,1,2001,Department of Defense,DOM: Litter,6982279.508779943
149,1,2001,Department of Defense,DOM: Soil,129186217.23856507
149,1,2001,Department of Defense,DOM: Standing Deadwood,3712220.3362538866
149,1,2001,Department of Defense,DOM: Down Deadwood,5554759.186575562
149,1,2001,Department of Energy,Atmosphere: CH4 [Type],0
149,1,2001,Department of Energy,Atmosphere: CO2 [Type],0
149,1,2001,Department of Energy,Atmosphere: CO [Type],0
149,1,2001,Department of Energy,Biomass: Coarse Root [Type],877744.6408480406
149,1,2001,Department of Energy,Biomass: Fine Root [Type],171591.75940304995
149,1,2001,Department of Energy,Biomass: Foliage [Type],358690.9599840641
149,1,2001,Department of Energy,Biomass: Merchantable [Type],2841475.746210362
149,1,2001,Department of Energy,Biomass: Other Wood [Type],1475054.1562110186
