ScenarioID,Iteration,Timestep,FlowGroupID,TransitionTypeID,Amount
160,1,2003,Net Biome Productivity,Fire: Medium Severity,-3572879.188915612
160,1,2003,Net Biome Productivity,Fire: Low Severity,-5802716.122260368
160,1,2003,Net Biome Productivity,Forest Harvest: Forest Clearcut,-32714933.42894781
160,1,2003,Net Biome Productivity,Forest Harvest: Forest Selection,-2443826.9004185065
160,1,2003,Net Biome Productivity,Ag Expansion: Pasture,-1032494.009490931
160,1,2003,Net Biome Productivity,Ag Expansion: Cropland,-583401.7355848566
160,1,2004,LULC: Harvest [Type],Urbanization: Open,898440.6280166587
160,1,2004,LULC: Harvest [Type],Urbanization: Low,623644.8650688409
160,1,2004,LULC: Harvest [Type],Urbanization: Medium,391365.24076995475
160,1,2004,LULC: Harvest [Type],Urbanization: High,90228.64993403354
160,1,2004,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,35665379.86842602
160,1,2004,LULC: Harvest [Type],Forest Harvest: Forest Selection,2493260.035215314
160,1,2004,LULC: Harvest [Type],Ag Expansion: Pasture,487158.02694489807
160,1,2004,LULC: Harvest [Type],Ag Expansion: Cropland,248443.96136411393
160,1,2004,LULC: Emission [Type],Urbanization: Open,2532423.02122195
160,1,2004,LULC: Emission [Type],Urbanization: Low,1769786.4028494377
160,1,2004,LULC: Emission [Type],Urbanization: Medium,1122910.540596742
160,1,2004,LULC: Emission [Type],Urbanization: High,246534.06685450076
160,1,2004,LULC: Emission [Type],Fire: High Severity,1161406.9879787497
160,1,2004,LULC: Emission [Type],Fire: Medium Severity,894969.0074316075
160,1,2004,LULC: Emission [Type],Fire: Low Severity,1636634.2347438203
160,1,2004,LULC: Emission [Type],Ag Expansion: Pasture,537701.41811041
160,1,2004,LULC: Emission [Type],Ag Expansion: Cropland,295223.5003211909
160,1,2004,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,4142510.806675288
160,1,2004,LULC: Mortality [Type],Fire: High Severity,1275461.751188972
160,1,2004,LULC: Mortality [Type],Fire: Medium Severity,953272.1126001651
160,1,2004,LULC: Mortality [Type],Fire: Low Severity,1177025.694825675
160,1,2004,LULC: Mortality [Type],Insect: High Severity,5469500.05987369
160,1,2004,LULC: Mortality [Type],Insect: Medium Severity,5507512.042596327
160,1,2004,LULC: Mortality [Type],Insect: Low Severity,8149676.99605947
160,1,2004,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,37117316.10164215
160,1,2004,LULC: Mortality [Type],Forest Harvest: Forest Selection,2571315.187785238
160,1,2004,LULC: Mortality [Type],Ag Expansion: Pasture,255828.29863502647
160,1,2004,LULC: Mortality [Type],Ag Expansion: Cropland,140498.13545863118
160,1,2004,Net Biome Productivity,Urbanization: Open,-3430863.649238609
160,1,2004,Net Biome Productivity,Urbanization: Low,-2393431.2679182785
160,1,2004,Net Biome Productivity,Urbanization: Medium,-1514275.7813666968
160,1,2004,Net Biome Productivity,Urbanization: High,-336762.7167885343
160,1,2004,Net Biome Productivity,Fire: High Severity,-1161406.9879787497
160,1,2004,Net Biome Productivity,Fire: Medium Severity,-894969.0074316075
