ScenarioID,ScenarioName,GCM,LUC,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
134,Historical,Historical,Historical,1,2007,New Mexico,Total Ecosystem,842847298.8115546
134,Historical,Historical,Historical,1,2007,California,Total Ecosystem,3264057138.073601
134,Historical,Historical,Historical,1,2007,Oregon,Total Ecosystem,3786747777.288332
134,Historical,Historical,Historical,1,2007,Washington,Total Ecosystem,3398138309.88213
134,Historical,Historical,Historical,1,2007,Utah,Total Ecosystem,1014646118.8479573
134,Historical,Historical,Historical,1,2007,Colorado,Total Ecosystem,1842578562.4811025
134,Historical,Historical,Historical,1,2007,Wyoming,Total Ecosystem,840270544.5532945
134,Historical,Historical,Historical,1,2007,Nevada,Total Ecosystem,371877142.9321302
134,Historical,Historical,Historical,1,2007,Montana,Total Ecosystem,2795309699.1619883
134,Historical,Historical,Historical,1,2007,Arizona,Total Ecosystem,387829756.7701621
134,Historical,Historical,Historical,1,2008,Idaho,Total Ecosystem,2544235177.694165
134,Historical,Historical,Historical,1,2008,New Mexico,Total Ecosystem,844723534.7073414
134,Historical,Historical,Historical,1,2008,California,Total Ecosystem,3258754563.868217
134,Historical,Historical,Historical,1,2008,Oregon,Total Ecosystem,3787840935.855292
134,Historical,Historical,Historical,1,2008,Washington,Total Ecosystem,3400729218.2676125
134,Historical,Historical,Historical,1,2008,Utah,Total Ecosystem,1017449312.7569351
134,Historical,Historical,Historical,1,2008,Colorado,Total Ecosystem,1846278403.4480636
134,Historical,Historical,Historical,1,2008,Wyoming,Total Ecosystem,844020713.7235801
134,Historical,Historical,Historical,1,2008,Nevada,Total Ecosystem,371708728.0240493
134,Historical,Historical,Historical,1,2008,Montana,Total Ecosystem,2804435574.263683
134,Historical,Historical,Historical,1,2008,Arizona,Total Ecosystem,389578478.20002925
134,Historical,Historical,Historical,1,2009,Idaho,Total Ecosystem,2546756035.3244777
134,Historical,Historical,Historical,1,2009,New Mexico,Total Ecosystem,843693106.8628607
134,Historical,Historical,Historical,1,2009,California,Total Ecosystem,3249894603.6699667
134,Historical,Historical,Historical,1,2009,Oregon,Total Ecosystem,3783896986.8000093
134,Historical,Historical,Historical,1,2009,Washington,Total Ecosystem,3403944575.308094
134,Historical,Historical,Historical,1,2009,Utah,Total Ecosystem,1019959918.8244457
134,Historical,Historical,Historical,1,2009,Colorado,Total Ecosystem,1847791347.6487517
134,Historical,Historical,Historical,1,2009,Wyoming,Total Ecosystem,847198350.7598051
134,Historical,Historical,Historical,1,2009,Nevada,Total Ecosystem,373449205.17398584
134,Historical,Historical,Historical,1,2009,Montana,Total Ecosystem,2809027766.87813
