ScenarioID,ScenarioName,GCM,LUC,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
134,Historical,Historical,Historical,1,2007,Oregon,Biomass: Total,1283738535.6944025
134,Historical,Historical,Historical,1,2007,Washington,Biomass: Total,1110325307.4518914
134,Historical,Historical,Historical,1,2007,Utah,Biomass: Total,249342372.89940047
134,Historical,Historical,Historical,1,2007,Colorado,Biomass: Total,524419030.8484621
134,Historical,Historical,Historical,1,2007,Wyoming,Biomass: Total,241340843.31543934
134,Historical,Historical,Historical,1,2007,Nevada,Biomass: Total,91215827.93099879
134,Historical,Historical,Historical,1,2007,Montana,Biomass: Total,697061713.6834507
134,Historical,Historical,Historical,1,2007,Arizona,Biomass: Total,114264359.63884099
134,Historical,Historical,Historical,1,2008,Idaho,Biomass: Total,673273099.7434537
134,Historical,Historical,Historical,1,2008,New Mexico,Biomass: Total,219276571.23894286
134,Historical,Historical,Historical,1,2008,California,Biomass: Total,1177643835.4372025
134,Historical,Historical,Historical,1,2008,Oregon,Biomass: Total,1280093609.199269
134,Historical,Historical,Historical,1,2008,Washington,Biomass: Total,1108226315.0671368
134,Historical,Historical,Historical,1,2008,Utah,Biomass: Total,252961890.1554012
134,Historical,Historical,Historical,1,2008,Colorado,Biomass: Total,522896139.106184
134,Historical,Historical,Historical,1,2008,Wyoming,Biomass: Total,243625618.30723488
134,Historical,Historical,Historical,1,2008,Nevada,Biomass: Total,91657833.7465389
134,Historical,Historical,Historical,1,2008,Montana,Biomass: Total,704028703.4668616
134,Historical,Historical,Historical,1,2008,Arizona,Biomass: Total,115752454.2365791
134,Historical,Historical,Historical,1,2009,Idaho,Biomass: Total,677560320.208848
134,Historical,Historical,Historical,1,2009,New Mexico,Biomass: Total,219670697.24467215
134,Historical,Historical,Historical,1,2009,California,Biomass: Total,1169440287.1262944
134,Historical,Historical,Historical,1,2009,Oregon,Biomass: Total,1278064709.1535058
134,Historical,Historical,Historical,1,2009,Washington,Biomass: Total,1110224340.4515927
134,Historical,Historical,Historical,1,2009,Utah,Biomass: Total,255920863.43388164
134,Historical,Historical,Historical,1,2009,Colorado,Biomass: Total,523581669.46034634
134,Historical,Historical,Historical,1,2009,Wyoming,Biomass: Total,245677931.228504
134,Historical,Historical,Historical,1,2009,Nevada,Biomass: Total,94048244.93350789
134,Historical,Historical,Historical,1,2009,Montana,Biomass: Total,705121351.322309
134,Historical,Historical,Historical,1,2009,Arizona,Biomass: Total,113653033.16494663
134,Historical,Historical,Historical,1,2010,Idaho,Biomass: Total,674926579.2408636
134,Historical,Historical,Historical,1,2010,New Mexico,Biomass: Total,219556690.8241421
134,Historical,Historical,Historical,1,2010,California,Biomass: Total,1175578508.5764847
134,Historical,Historical,Historical,1,2010,Oregon,Biomass: Total,1283330047.955369
134,Historical,Historical,Historical,1,2010,Washington,Biomass: Total,1116492698.7764745
134,Historical,Historical,Historical,1,2010,Utah,Biomass: Total,261916512.57208544
134,Historical,Historical,Historical,1,2010,Colorado,Biomass: Total,525394765.6340736
134,Historical,Historical,Historical,1,2010,Wyoming,Biomass: Total,245727603.36798432
134,Historical,Historical,Historical,1,2010,Nevada,Biomass: Total,97251770.25477092
134,Historical,Historical,Historical,1,2010,Montana,Biomass: Total,712572021.3295187
134,Historical,Historical,Historical,1,2010,Arizona,Biomass: Total,115586030.2785154
134,Historical,Historical,Historical,1,2011,Idaho,Biomass: Total,684160540.4250914
134,Historical,Historical,Historical,1,2011,New Mexico,Biomass: Total,221068871.538005
134,Historical,Historical,Historical,1,2011,California,Biomass: Total,1143701447.7523365
134,Historical,Historical,Historical,1,2011,Oregon,Biomass: Total,1283023763.7905543
134,Historical,Historical,Historical,1,2011,Washington,Biomass: Total,1121443067.7696643
134,Historical,Historical,Historical,1,2011,Utah,Biomass: Total,265893248.28578818
134,Historical,Historical,Historical,1,2011,Colorado,Biomass: Total,526571934.3851447
134,Historical,Historical,Historical,1,2011,Wyoming,Biomass: Total,247866002.33958644
134,Historical,Historical,Historical,1,2011,Nevada,Biomass: Total,97706135.08138175
134,Historical,Historical,Historical,1,2011,Montana,Biomass: Total,730071074.2864159
134,Historical,Historical,Historical,1,2011,Arizona,Biomass: Total,115322526.84657095
134,Historical,Historical,Historical,1,2012,Idaho,Biomass: Total,697986415.4619203
134,Historical,Historical,Historical,1,2012,New Mexico,Biomass: Total,219695631.6963895
134,Historical,Historical,Historical,1,2012,California,Biomass: Total,1151370077.028205
134,Historical,Historical,Historical,1,2012,Oregon,Biomass: Total,1296383454.1361108
134,Historical,Historical,Historical,1,2012,Washington,Biomass: Total,1137539906.9520478
134,Historical,Historical,Historical,1,2012,Utah,Biomass: Total,265982427.6534983
134,Historical,Historical,Historical,1,2012,Colorado,Biomass: Total,524385936.5424978
134,Historical,Historical,Historical,1,2012,Wyoming,Biomass: Total,249558290.6934076
134,Historical,Historical,Historical,1,2012,Nevada,Biomass: Total,98717188.39672227
134,Historical,Historical,Historical,1,2012,Montana,Biomass: Total,744575316.3643497
134,Historical,Historical,Historical,1,2012,Arizona,Biomass: Total,114685825.5731513
134,Historical,Historical,Historical,1,2013,Idaho,Biomass: Total,700137360.9624465
134,Historical,Historical,Historical,1,2013,New Mexico,Biomass: Total,222876208.3987977
134,Historical,Historical,Historical,1,2013,California,Biomass: Total,1109677039.7183433
134,Historical,Historical,Historical,1,2013,Oregon,Biomass: Total,1279148181.7188945
134,Historical,Historical,Historical,1,2013,Washington,Biomass: Total,1138446513.0217109
134,Historical,Historical,Historical,1,2013,Utah,Biomass: Total,269677002.4346579
134,Historical,Historical,Historical,1,2013,Colorado,Biomass: Total,536412381.82501155
134,Historical,Historical,Historical,1,2013,Wyoming,Biomass: Total,253291037.33552265
134,Historical,Historical,Historical,1,2013,Nevada,Biomass: Total,98943810.56157218
134,Historical,Historical,Historical,1,2013,Montana,Biomass: Total,754265976.8519535
134,Historical,Historical,Historical,1,2013,Arizona,Biomass: Total,111395715.49197349
134,Historical,Historical,Historical,1,2014,Idaho,Biomass: Total,714448408.56686
134,Historical,Historical,Historical,1,2014,New Mexico,Biomass: Total,225570170.49105433
134,Historical,Historical,Historical,1,2014,California,Biomass: Total,1129618668.8280184
134,Historical,Historical,Historical,1,2014,Oregon,Biomass: Total,1287204871.418121
134,Historical,Historical,Historical,1,2014,Washington,Biomass: Total,1145443888.8225455
134,Historical,Historical,Historical,1,2014,Utah,Biomass: Total,274212922.74559563
134,Historical,Historical,Historical,1,2014,Colorado,Biomass: Total,544741851.2864149
134,Historical,Historical,Historical,1,2014,Wyoming,Biomass: Total,258543650.71714813
134,Historical,Historical,Historical,1,2014,Nevada,Biomass: Total,100873924.23156357
134,Historical,Historical,Historical,1,2014,Montana,Biomass: Total,771286326.3603535
134,Historical,Historical,Historical,1,2014,Arizona,Biomass: Total,111501009.4539095
