ScenarioID,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
74,1,2001,California,Peat [Type],0
74,1,2001,California,Biomass: Aboveground,981806446.1881887
74,1,2001,California,Biomass: Belowground,224124877.17489675
74,1,2001,California,Biomass: Total,1205931323.3630855
74,1,2001,California,DOM: Aboveground,92432973.5165498
74,1,2001,California,DOM: Belowground,1976220239.8475688
74,1,2001,California,DOM: Total,2068653213.3641171
74,1,2001,California,Total Ecosystem,3274584536.727203
74,1,2001,California,DOM: Deadwood,170752818.11427265
74,1,2001,California,DOM: Litter,141800980.04661316
74,1,2001,California,DOM: Soil,1756099415.203233
74,1,2001,California,DOM: Standing Deadwood,92432973.5165498
74,1,2001,California,DOM: Down Deadwood,78319844.59772259
74,1,2001,Oregon,Atmosphere: CH4 [Type],0
74,1,2001,Oregon,Atmosphere: CO2 [Type],0
74,1,2001,Oregon,Atmosphere: CO [Type],0
74,1,2001,Oregon,Biomass: Coarse Root [Type],208216799.8212815
74,1,2001,Oregon,Biomass: Fine Root [Type],24419450.389807764
74,1,2001,Oregon,Biomass: Foliage [Type],99252383.98603201
74,1,2001,Oregon,Biomass: Merchantable [Type],616973828.9059702
74,1,2001,Oregon,Biomass: Other Wood [Type],332716653.1868234
74,1,2001,Oregon,DOM: Aboveground Fast [Type],121137157.84862041
74,1,2001,Oregon,DOM: Aboveground Medium [Type],125100092.0299679
74,1,2001,Oregon,DOM: Aboveground Slow [Type],511537781.85720444
74,1,2001,Oregon,DOM: Aboveground Very Fast [Type],62997430.70860505
74,1,2001,Oregon,DOM: Belowground Fast [Type],20527565.60102254
74,1,2001,Oregon,DOM: Belowground Slow [Type],1559775939.8345947
74,1,2001,Oregon,DOM: Belowground Very Fast [Type],11643804.937307537
74,1,2001,Oregon,DOM: Black Carbon [Type],0
74,1,2001,Oregon,DOM: Snag Branch [Type],20737193.15878738
74,1,2001,Oregon,DOM: Snag Stem [Type],66371256.53547686
74,1,2001,Oregon,Forestry Sector [Type],0
74,1,2001,Oregon,Atmosphere [Type],0
74,1,2001,Oregon,Black Carbon [Type],0
74,1,2001,Oregon,Peat [Type],0
74,1,2001,Oregon,Biomass: Aboveground,1048942866.0788256
74,1,2001,Oregon,Biomass: Belowground,232636250.21108925
74,1,2001,Oregon,Biomass: Total,1281579116.2899148
74,1,2001,Oregon,DOM: Aboveground,87108449.69426425
74,1,2001,Oregon,DOM: Belowground,2412719772.8173227
74,1,2001,Oregon,DOM: Total,2499828222.511587
74,1,2001,Oregon,Total Ecosystem,3781407338.801502
74,1,2001,Oregon,DOM: Deadwood,232736107.32525465
74,1,2001,Oregon,DOM: Litter,184134588.55722547
74,1,2001,Oregon,DOM: Soil,2082957526.6291068
74,1,2001,Oregon,DOM: Standing Deadwood,87108449.69426425
74,1,2001,Oregon,DOM: Down Deadwood,145627657.63099045
74,1,2001,Nebraska,Atmosphere: CH4 [Type],0
74,1,2001,Nebraska,Atmosphere: CO2 [Type],0
74,1,2001,Nebraska,Atmosphere: CO [Type],0
74,1,2001,Nebraska,Biomass: Coarse Root [Type],436797.7315880358
74,1,2001,Nebraska,Biomass: Fine Root [Type],145576.11959949136
74,1,2001,Nebraska,Biomass: Foliage [Type],268971.3708229363
